BillId,BarId,DrinkerId,TimeIssued,Item,Quantity,Price
47,55,64,1139,Coke,3,18.21
47,55,64,1139,Smuttynose Wheat Wine,2,25.38
48,88,165,1724,Water,2,12.1
48,88,165,1724,St Peter's Wheat Ale,2,20.48
48,88,165,1724,SweetWater Summer Hummer,2,5.14
49,156,325,1212,Boddingtons Pub Ale,1,6.08
50,131,274,1937,Victoria Bitter,2,16.42
50,131,274,1937,Xingu Black Beer,2,17.96
51,144,203,1761,Strongarm Ruby Red Ale,2,4.12
52,162,115,2103,Spaten Munchen Dunkel,1,4.89
52,162,115,2103,Full Sail IPA,1,10.29
53,83,265,1627,Water,1,6.23
54,230,411,1403,Ice Tea,2,5.64
54,230,411,1403,Fries,2,21.0
54,230,411,1403,Boulevard Unfiltered Wheat Beer,3,14.79
55,173,146,1829,Fries,2,21.24
56,90,172,1350,Strongarm Ruby Red Ale,2,5.34
56,90,172,1350,Water,2,13.18
57,143,149,1711,Pinstripe Red Ale,2,18.1
57,143,149,1711,Cheesburger,1,3.17
57,143,149,1711,Left Hand Polestar Pilsner,2,12.0
57,143,149,1711,Dirty Shirley,3,38.01
58,195,417,1727,Old Milwaukee,3,38.67
59,210,483,2139,Water,2,13.12
59,210,483,2139,Wings,2,25.78
59,210,483,2139,Rogue Dry Hopped Saint Rogue Red Ale,1,7.92
59,210,483,2139,Russian River Blind Pig IPA,1,2.52
60,155,203,1391,Dirty Shirley,3,36.09
61,95,246,1464,Hotdog,2,22.38
62,84,404,1172,Ice Tea,1,2.24
62,84,404,1172,River Rock Ale,3,12.27
63,232,406,1422,Cheesburger,3,9.27
64,4,13,1817,Wings,2,25.78
64,4,13,1817,Tripel Karmeliet,3,10.89
64,4,13,1817,Southern Pecan Brown ale,1,3.63
65,61,405,1914,New Glarus Two Women New,2,23.58
65,61,405,1914,Fries,1,10.45
65,61,405,1914,Dirty Shirley,1,12.16
66,215,472,1878,Pinstripe Red Ale,2,19.12
66,215,472,1878,Old Rasputin Russian Imperial Stout,2,8.7
67,78,304,1931,Station House Red Ale,2,19.82
68,93,137,1281,Fried Chocolate Tarantula,3,24.54
68,93,137,1281,Full Sail IPA,1,10.59
68,93,137,1281,Steamworks Summer Kolsch,3,17.58
68,93,137,1281,Strong Suffolk Vintage Ale,2,17.66
68,93,137,1281,Dirty Shirley,1,12.56
69,222,385,1681,Old Milwaukee,1,12.82
69,222,385,1681,Cheesburger,2,6.84
69,222,385,1681,Boulevard Unfiltered Wheat Beer,2,9.18
70,115,462,1683,Aass Juleol Premium,1,10.44
70,115,462,1683,Lakefront Bridge Burner,3,33.54
70,115,462,1683,Russian River Blind Pig IPA,3,6.75
71,231,495,1311,Dirty Shirley,2,24.86
71,231,495,1311,Lakeport Honey Lager,1,7.57
71,231,495,1311,Fordham Dunkel Weiss,1,4.57
72,134,82,2145,Wings,1,12.05
72,134,82,2145,Fried Chocolate Tarantula,2,17.0
73,64,117,1224,Hotdog,3,34.44
73,64,117,1224,Xingu Black Beer,1,8.15
73,64,117,1224,Sundance Amber Ale,1,6.45
74,174,331,1735,Smuttynose Wheat Wine,3,37.65
74,174,331,1735,Lakefront Bridge Burner,1,11.75
74,174,331,1735,Coke,1,6.65
74,174,331,1735,Fried Chocolate Tarantula,3,25.68
75,80,284,1590,Rogue Dry Hopped Saint Rogue Red Ale,3,21.69
75,80,284,1590,Coke,1,6.88
76,180,443,1516,Strong Suffolk Vintage Ale,2,16.36
77,4,370,1670,Wings,1,12.89
77,4,370,1670,Southern Pecan Brown ale,1,3.63
77,4,370,1670,Tripel Karmeliet,3,10.89
78,29,203,1097,Engel Gold,1,10.59
78,29,203,1097,Quail Springs India Pale Ale,3,26.34
79,73,125,1534,Fordham Dunkel Weiss,3,12.12
79,73,125,1534,Engel Gold,2,20.5
79,73,125,1534,Lakefront Bridge Burner,1,11.55
79,73,125,1534,SweetWater Summer Hummer,1,2.78
80,237,263,1790,Left Hand Black Jack Porter,3,6.33
81,22,90,1699,Cheesburger,3,10.05
81,22,90,1699,Fried Chocolate Tarantula,1,8.33
81,22,90,1699,Dirty Shirley,2,25.56
81,22,90,1699,Fries,3,32.97
82,62,203,1370,Fordham Dunkel Weiss,3,14.04
82,62,203,1370,Ice Tea,1,2.78
82,62,203,1370,Capital Maibock,2,20.1
82,62,203,1370,New Glarus Two Women New,3,34.5
83,168,484,1865,Hotdog,1,11.46
83,168,484,1865,Fries,2,21.46
83,168,484,1865,Capital Vintage Ale,3,23.49
83,168,484,1865,Dirty Shirley,1,12.63
84,231,396,1250,Fordham Dunkel Weiss,2,9.14
84,231,396,1250,Dirty Shirley,3,37.29
84,231,396,1250,Lakeport Honey Lager,3,22.71
85,111,379,1830,Southern Pecan Brown ale,2,7.86
85,111,379,1830,Russian River Blind Pig IPA,2,4.98
86,170,9,1391,Old Rasputin Russian Imperial Stout,1,4.08
86,170,9,1391,SweetWater Summer Hummer,2,5.44
86,170,9,1391,Coke,1,6.9
87,71,465,1666,Water,3,19.26
88,113,133,942,Fries,1,10.28
88,113,133,942,Miller High Life Light,2,11.26
89,212,270,1396,Capital Vintage Ale,3,22.26
89,212,270,1396,Ice Tea,3,6.06
89,212,270,1396,Fries,1,10.07
89,212,270,1396,Lakefront Bridge Burner,3,35.28
89,212,270,1396,Boulevard Unfiltered Wheat Beer,1,4.11
90,136,159,1824,Dirty Shirley,3,37.74
91,228,186,1833,Geary's Pale Ale,3,14.37
91,228,186,1833,Wings,3,37.05
92,28,114,1156,Fries,1,10.5
93,232,200,1904,Coke,3,19.5
93,232,200,1904,Station House Red Ale,3,27.81
93,232,200,1904,Cheesburger,3,9.27
93,232,200,1904,Quail Springs India Pale Ale,1,8.96
94,5,296,1030,Fries,2,20.86
95,228,276,1735,Wings,3,37.05
95,228,276,1735,Geary's Pale Ale,2,9.58
96,23,354,1828,Pepsi,1,2.97
96,23,354,1828,River Rock Ale,3,12.93
97,237,254,987,Left Hand Black Jack Porter,3,6.33
98,53,26,1726,Saint Arnold Brown Ale,3,17.07
98,53,26,1726,Water,2,12.82
98,53,26,1726,Ice Tea,3,7.47
98,53,26,1726,Widmer Snowplow Milk Stout,2,22.58
99,154,30,1404,Coke,1,6.01
99,154,30,1404,Fordham Dunkel Weiss,3,13.32
100,239,410,1481,Boddingtons Pub Ale,2,12.7
101,103,380,1492,Wings,3,36.75
101,103,380,1492,Hotdog,1,11.98
101,103,380,1492,Coke,1,6.4
102,224,452,963,Station House Red Ale,2,18.02
103,227,309,1026,Coke,2,13.3
103,227,309,1026,Wings,2,24.36
103,227,309,1026,Pinstripe Red Ale,1,9.02
103,227,309,1026,Tuppers' Hop Pocket Pils,3,21.51
104,87,4,1357,Engel Gold,3,31.32
105,21,142,1654,Point Horizon Wheat,3,34.23
105,21,142,1654,Boris,1,10.35
106,29,321,1390,Quail Springs India Pale Ale,1,8.78
107,214,181,1623,Old Milwaukee,3,36.33
107,214,181,1623,Quail Springs India Pale Ale,2,16.52
108,159,91,1611,St-Ambroise Oatmeal Stout,3,21.54
108,159,91,1611,Fred,2,18.62
108,159,91,1611,Fordham Dunkel Weiss,1,4.21
109,21,500,878,Strong Suffolk Vintage Ale,2,17.94
110,188,411,1236,Fried Chocolate Tarantula,3,24.27
110,188,411,1236,Hops Clearwater Light,2,6.18
110,188,411,1236,Capital Maibock,1,10.81
110,188,411,1236,Dirty Shirley,3,38.73
111,27,276,1791,New Glarus Two Women New,1,11.62
111,27,276,1791,Ice Tea,1,2.96
111,27,276,1791,Pepsi,3,7.98
112,163,111,1717,Wings,3,38.19
112,163,111,1717,Fordham Dunkel Weiss,2,9.84
112,163,111,1717,Boris,3,32.97
112,163,111,1717,BridgePort India Pale Ale,3,21.54
113,219,481,1595,Tripel Karmeliet,2,7.76
113,219,481,1595,Pepsi,1,2.41
114,122,459,1331,Fried Chocolate Tarantula,1,8.8
115,146,324,1301,Fred,1,9.54
115,146,324,1301,Left Hand Black Jack Porter,2,5.06
116,206,26,1430,Fried Chocolate Tarantula,3,24.54
116,206,26,1430,Boddingtons Pub Ale,1,6.86
116,206,26,1430,Full Sail IPA,3,31.92
117,239,238,1306,Station House Red Ale,3,27.3
117,239,238,1306,Ice Tea,2,4.12
117,239,238,1306,Boddingtons Pub Ale,2,12.7
118,26,58,1603,Fried Chocolate Tarantula,1,8.51
119,211,175,1082,River Rock Ale,2,9.66
119,211,175,1082,Point Horizon Wheat,2,22.94
119,211,175,1082,Coke,2,13.54
119,211,175,1082,Ice Tea,3,6.36
119,211,175,1082,Fried Chocolate Tarantula,1,8.81
120,174,85,1829,New Glarus Spotted Cow Ale,1,2.96
121,210,439,1889,Water,1,6.56
121,210,439,1889,Full Sail IPA,2,21.36
122,230,77,1277,Ice Tea,2,5.64
122,230,77,1277,Fries,3,31.5
122,230,77,1277,Boulevard Unfiltered Wheat Beer,3,14.79
123,188,374,1551,Dirty Shirley,1,12.91
123,188,374,1551,Fried Chocolate Tarantula,1,8.09
123,188,374,1551,Hops Clearwater Light,3,9.27
123,188,374,1551,Capital Maibock,2,21.62
124,3,122,1224,Strong Suffolk Vintage Ale,2,17.98
124,3,122,1224,Russian River Blind Pig IPA,1,2.67
124,3,122,1224,Ice Tea,3,7.14
125,202,239,1761,Cheesburger,2,7.9
125,202,239,1761,Left Hand Polestar Pilsner,2,10.4
125,202,239,1761,Lakeport Honey Lager,2,14.12
126,165,473,1740,Spaten Munchen Dunkel,1,4.12
127,126,234,1755,Ice Tea,2,4.04
127,126,234,1755,Capital Maibock,2,20.46
127,126,234,1755,Fries,1,10.35
128,119,364,1092,Fried Chocolate Tarantula,2,16.34
129,155,82,1899,Wings,3,36.72
130,174,489,1342,Smuttynose Wheat Wine,3,37.65
130,174,489,1342,New Glarus Spotted Cow Ale,2,5.92
130,174,489,1342,Fried Chocolate Tarantula,1,8.56
130,174,489,1342,Coke,2,13.3
130,174,489,1342,Lakefront Bridge Burner,1,11.75
131,128,447,1114,Fred,2,19.9
131,128,447,1114,Hotdog,1,11.29
131,128,447,1114,Pinstripe Red Ale,1,9.85
131,128,447,1114,Fries,3,31.08
132,74,72,1321,Fries,1,10.36
132,74,72,1321,River Rock Ale,3,12.39
132,74,72,1321,Fried Chocolate Tarantula,3,26.88
132,74,72,1321,Abita Wheat,2,9.16
133,39,125,1548,Pepsi,3,7.83
133,39,125,1548,Boris,2,20.78
133,39,125,1548,Water,1,6.96
133,39,125,1548,Miller High Life Light,1,5.61
133,39,125,1548,Dirty Shirley,1,12.01
134,168,237,1526,Fries,3,32.19
134,168,237,1526,Dirty Shirley,2,25.26
134,168,237,1526,Capital Vintage Ale,3,23.49
134,168,237,1526,Hotdog,3,34.38
135,103,474,1652,Coke,1,6.4
136,88,439,1491,Water,3,18.15
136,88,439,1491,SweetWater Summer Hummer,2,5.14
136,88,439,1491,Tripel Karmeliet,3,9.81
136,88,439,1491,St Peter's Wheat Ale,3,30.72
136,88,439,1491,Hotdog,2,22.58
137,213,261,1361,Coke,2,12.74
137,213,261,1361,Tuppers' Hop Pocket Pils,3,22.71
138,66,28,2002,Ice Tea,1,2.42
138,66,28,2002,New Glarus Spotted Cow Ale,1,2.81
138,66,28,2002,Dirty Shirley,1,12.62
139,10,435,1892,Fries,3,32.67
139,10,435,1892,Pepsi,3,6.24
139,10,435,1892,Left Hand Polestar Pilsner,3,15.66
140,198,429,1214,Wings,1,12.56
141,119,288,1993,Coke,2,12.06
141,119,288,1993,Fried Chocolate Tarantula,2,16.34
141,119,288,1993,Moosbacher Schwarze Weisse,2,5.32
142,162,404,1204,Spaten Munchen Dunkel,3,14.67
142,162,404,1204,River Rock Ale,3,14.58
143,41,125,1734,Full Sail IPA,1,10.14
144,51,257,1446,Cheesburger,3,9.72
145,87,304,1870,Engel Gold,1,10.44
146,37,491,1794,Cheesburger,3,9.84
146,37,491,1794,Boris,1,10.63
147,61,370,1274,New Glarus Two Women New,2,23.58
147,61,370,1274,Dirty Shirley,3,36.48
147,61,370,1274,Fries,1,10.45
147,61,370,1274,Hotdog,2,23.94
147,61,370,1274,Cheesburger,3,10.32
148,180,73,1003,Fries,2,21.8
148,180,73,1003,Strong Suffolk Vintage Ale,1,8.18
150,56,458,1641,Strong Suffolk Vintage Ale,2,16.26
150,56,458,1641,Fries,3,30.0
150,56,458,1641,Old Rasputin Russian Imperial Stout,3,14.91
151,69,268,1612,Saint Arnold Brown Ale,3,15.81
151,69,268,1612,Dirty Shirley,3,36.42
151,69,268,1612,Water,1,6.07
151,69,268,1612,Strongarm Ruby Red Ale,3,7.29
152,136,431,1706,Abita Turbodog,1,11.76
152,136,431,1706,Dirty Shirley,2,25.16
153,80,157,1252,Rogue Dry Hopped Saint Rogue Red Ale,1,7.23
154,237,55,1352,Left Hand Black Jack Porter,1,2.11
155,167,396,1321,Engel Gold,1,10.28
156,237,310,854,Left Hand Black Jack Porter,3,6.33
157,198,24,2094,Fried Chocolate Tarantula,2,17.94
157,198,24,2094,Old Milwaukee,2,25.72
158,219,247,920,Tripel Karmeliet,1,3.88
159,68,29,1644,Pepsi,2,5.2
159,68,29,1644,Xingu Black Beer,1,8.67
160,74,282,1480,Abita Wheat,2,9.16
160,74,282,1480,Fried Chocolate Tarantula,1,8.96
160,74,282,1480,River Rock Ale,2,8.26
160,74,282,1480,Fries,3,31.08
161,60,265,1627,Fried Chocolate Tarantula,3,25.74
161,60,265,1627,Coke,2,13.6
162,213,414,1232,Tuppers' Hop Pocket Pils,3,22.71
162,213,414,1232,Coke,2,12.74
163,231,81,1777,Dirty Shirley,2,24.86
163,231,81,1777,Fordham Dunkel Weiss,3,13.71
164,192,26,889,Ice Tea,1,2.94
164,192,26,889,Water,1,6.47
164,192,26,889,Cheesburger,3,10.38
164,192,26,889,Dirty Shirley,2,24.24
165,204,424,1349,Hitachino Nest Weizen,3,17.94
165,204,424,1349,Fries,2,20.92
165,204,424,1349,Cheesburger,2,7.5
166,14,110,1383,Abita Turbodog,1,11.1
167,167,375,1440,Engel Gold,1,10.28
168,189,316,1769,Pepsi,3,8.82
168,189,316,1769,Capital Maibock,1,10.67
169,25,233,1050,New Glarus Two Women New,3,35.1
170,141,379,1322,Xingu Black Beer,2,16.38
170,141,379,1322,St-Ambroise Oatmeal Stout,1,7.66
171,104,454,1418,Old Rasputin Russian Imperial Stout,1,4.57
171,104,454,1418,Abita Wheat,2,9.28
171,104,454,1418,Hotdog,1,11.99
171,104,454,1418,Hitachino Nest Weizen,1,5.51
171,104,454,1418,Water,2,13.5
172,35,490,1263,Dirty Shirley,3,36.84
172,35,490,1263,Pepsi,2,5.3
172,35,490,1263,Left Hand Polestar Pilsner,2,10.2
173,121,322,1996,Ice Tea,2,4.24
173,121,322,1996,Dirty Shirley,1,12.13
173,121,322,1996,Coke,3,20.88
173,121,322,1996,Cheesburger,2,7.48
174,228,198,1769,Geary's Pale Ale,1,4.79
175,223,141,1799,Fries,1,10.86
176,59,316,1178,Ice Tea,3,8.1
176,59,316,1178,Engel Gold,2,20.64
177,105,356,1122,Geary's Pale Ale,3,13.35
177,105,356,1122,Fried Chocolate Tarantula,1,8.58
177,105,356,1122,Wings,2,25.66
177,105,356,1122,Tuppers' Hop Pocket Pils,2,14.52
178,197,455,1282,Ice Tea,1,2.68
179,250,406,1268,Lakefront Bridge Burner,2,22.1
180,10,112,1882,Left Hand Polestar Pilsner,3,15.66
180,10,112,1882,Pepsi,2,4.16
180,10,112,1882,Fries,1,10.89
180,10,112,1882,Dirty Shirley,2,24.68
181,197,96,1684,Ice Tea,1,2.68
182,103,400,1797,Hotdog,2,23.96
182,103,400,1797,Coke,2,12.8
182,103,400,1797,Wings,3,36.75
183,83,217,2221,Water,3,18.69
184,197,498,1675,Ice Tea,1,2.68
185,166,127,1465,Dirty Shirley,2,24.68
186,69,10,1549,Saint Arnold Brown Ale,2,10.54
186,69,10,1549,Water,3,18.21
187,228,127,1532,Geary's Pale Ale,1,4.79
188,247,322,1266,Boris,2,21.64
188,247,322,1266,Hitachino Nest Weizen,2,10.48
189,95,379,1210,Hotdog,1,11.19
189,95,379,1210,Hops Clearwater Light,3,11.1
189,95,379,1210,Tripel Karmeliet,1,3.84
189,95,379,1210,Geary's Pale Ale,2,8.6
190,211,400,1146,Point Horizon Wheat,3,34.41
190,211,400,1146,Steamworks Summer Kolsch,1,5.35
190,211,400,1146,Cheesburger,2,7.44
191,58,384,1083,Miller High Life Light,2,11.7
191,58,384,1083,Left Hand Polestar Pilsner,3,15.69
191,58,384,1083,Dirty Shirley,2,24.02
192,130,362,1024,Moosbacher Schwarze Weisse,2,4.5
193,194,286,1837,Cheesburger,2,6.86
193,194,286,1837,River Rock Ale,1,4.87
193,194,286,1837,Boddingtons Pub Ale,2,13.84
193,194,286,1837,Coke,3,19.05
194,69,459,2190,Dirty Shirley,2,24.28
194,69,459,2190,Water,1,6.07
194,69,459,2190,Strongarm Ruby Red Ale,2,4.86
195,195,306,1710,Old Milwaukee,2,25.78
196,85,41,1429,Old Rasputin Russian Imperial Stout,3,14.55
196,85,41,1429,Coke,1,6.61
196,85,41,1429,Hotdog,3,33.57
197,53,456,1239,Saint Arnold Brown Ale,2,11.38
197,53,456,1239,Widmer Snowplow Milk Stout,2,22.58
197,53,456,1239,Water,3,19.23
197,53,456,1239,Ice Tea,2,4.98
198,143,470,1615,Pinstripe Red Ale,2,18.1
198,143,470,1615,Left Hand Polestar Pilsner,3,18.0
198,143,470,1615,Aass Juleol Premium,1,10.73
198,143,470,1615,Pepsi,2,4.56
198,143,470,1615,Water,2,13.8
199,206,133,1806,Fried Chocolate Tarantula,1,8.18
199,206,133,1806,Boddingtons Pub Ale,3,20.58
199,206,133,1806,Full Sail IPA,3,31.92
200,170,224,2046,Coke,2,13.8
200,170,224,2046,Old Rasputin Russian Imperial Stout,3,12.24
200,170,224,2046,SweetWater Summer Hummer,2,5.44
201,148,83,1442,Wings,2,25.24
201,148,83,1442,Sundance Amber Ale,2,12.46
202,140,478,2151,Russian River Blind Pig IPA,1,2.75
202,140,478,2151,Coke,3,19.5
203,99,140,1205,Strong Suffolk Vintage Ale,2,16.94
203,99,140,1205,Left Hand Polestar Pilsner,3,17.43
204,82,299,1261,Fordham Dunkel Weiss,3,14.94
205,98,410,2080,Russian River Blind Pig IPA,1,2.97
206,154,356,970,Coke,3,18.03
206,154,356,970,Boulevard Unfiltered Wheat Beer,1,4.04
206,154,356,970,Victoria Bitter,3,24.54
207,197,130,1288,Ice Tea,3,8.04
208,12,172,1591,Dirty Shirley,1,12.2
208,12,172,1591,Tuppers' Hop Pocket Pils,1,7.52
208,12,172,1591,Ice Tea,3,8.19
208,12,172,1591,Strong Suffolk Vintage Ale,1,8.68
208,12,172,1591,Capital Vintage Ale,2,15.18
209,52,353,1220,Dirty Shirley,2,24.98
210,92,444,1576,Xingu Black Beer,2,16.34
210,92,444,1576,Wings,3,36.6
211,82,212,1481,Fordham Dunkel Weiss,3,14.94
212,199,149,1411,Wings,3,38.67
212,199,149,1411,Cheesburger,2,6.34
212,199,149,1411,Hotdog,2,22.08
213,185,30,1091,Dirty Shirley,3,36.84
213,185,30,1091,Miller High Life Light,3,15.24
214,69,85,1858,Water,3,18.21
215,120,291,1888,Water,1,6.14
215,120,291,1888,Sundance Amber Ale,2,13.7
216,223,452,1657,Fries,1,10.86
216,223,452,1657,Dirty Shirley,3,36.99
217,164,36,2131,Pinstripe Red Ale,1,9.16
217,164,36,2131,Wings,3,38.16
218,80,45,1687,Coke,2,13.76
218,80,45,1687,Rogue Dry Hopped Saint Rogue Red Ale,3,21.69
219,2,443,1204,Quail Springs India Pale Ale,3,25.83
219,2,443,1204,Wings,1,12.44
219,2,443,1204,Full Sail IPA,2,20.06
219,2,443,1204,Coke,2,12.22
220,90,322,1328,Strongarm Ruby Red Ale,1,2.67
221,76,66,1171,Moosbacher Schwarze Weisse,3,8.16
221,76,66,1171,Drake's Expedition Ale,2,11.92
222,228,466,1638,Geary's Pale Ale,3,14.37
222,228,466,1638,Wings,3,37.05
223,97,219,1430,Fries,1,10.72
224,215,326,1391,Old Rasputin Russian Imperial Stout,2,8.7
224,215,326,1391,Pinstripe Red Ale,1,9.56
225,176,139,1530,Cheesburger,2,7.7
225,176,139,1530,Steamworks Summer Kolsch,1,5.35
226,160,400,1646,St Peter's Wheat Ale,3,30.12
227,228,79,1337,Geary's Pale Ale,3,14.37
227,228,79,1337,Wings,1,12.35
228,66,401,1682,Ice Tea,1,2.42
228,66,401,1682,New Glarus Spotted Cow Ale,2,5.62
228,66,401,1682,Dirty Shirley,1,12.62
229,69,132,1789,Strongarm Ruby Red Ale,3,7.29
229,69,132,1789,Dirty Shirley,2,24.28
229,69,132,1789,Saint Arnold Brown Ale,2,10.54
229,69,132,1789,Water,3,18.21
230,187,219,1279,Pepsi,3,6.39
230,187,219,1279,Strong Suffolk Vintage Ale,2,17.26
231,164,391,1284,Pinstripe Red Ale,2,18.32
231,164,391,1284,Wings,1,12.72
232,48,349,1856,Rogue Dry Hopped Saint Rogue Red Ale,2,14.98
232,48,349,1856,Hotdog,1,11.88
232,48,349,1856,Widmer Snowplow Milk Stout,2,23.18
232,48,349,1856,Tuppers' Hop Pocket Pils,3,23.46
233,153,46,1362,Fried Chocolate Tarantula,2,16.78
233,153,46,1362,Cheesburger,2,6.18
233,153,46,1362,Capital Vintage Ale,2,15.98
233,153,46,1362,Water,3,18.12
233,153,46,1362,Wings,3,36.87
234,191,396,1387,River Rock Ale,1,4.73
234,191,396,1387,Coke,2,12.28
234,191,396,1387,New Glarus Spotted Cow Ale,2,5.42
234,191,396,1387,Fries,3,32.25
235,118,78,902,Dirty Shirley,2,25.1
235,118,78,902,Capital Vintage Ale,3,23.61
235,118,78,902,Water,1,6.35
236,136,452,1598,Abita Turbodog,3,35.28
237,224,54,993,Ice Tea,1,2.94
237,224,54,993,Station House Red Ale,1,9.01
237,224,54,993,Hotdog,2,22.74
238,77,496,1768,Steamworks Summer Kolsch,3,16.47
239,231,222,1644,Dirty Shirley,2,24.86
239,231,222,1644,Fordham Dunkel Weiss,1,4.57
239,231,222,1644,Lakeport Honey Lager,2,15.14
240,203,114,1088,Fried Chocolate Tarantula,3,25.05
241,15,227,1959,Wings,1,12.48
241,15,227,1959,Ice Tea,2,4.84
241,15,227,1959,Fries,3,30.39
242,14,234,1272,Abita Turbodog,2,22.2
243,167,181,1321,Engel Gold,3,30.84
244,44,301,1215,Southern Pecan Brown ale,2,7.02
244,44,301,1215,St Peter's Wheat Ale,2,20.28
245,172,364,1610,Coke,1,6.21
245,172,364,1610,Hotdog,1,11.78
245,172,364,1610,Spaten Munchen Dunkel,2,9.34
245,172,364,1610,Boulevard Unfiltered Wheat Beer,2,9.14
245,172,364,1610,Pepsi,3,7.98
