tid,BarId,DrinkerId,SubTotal,Tax,Tip,Total
49,131,274,17.96,1.26,3.59,22.81
50,144,203,4.12,0.29,0.82,5.23
51,162,115,10.29,0.72,2.06,13.07
52,83,265,6.23,0.44,1.25,7.92
53,230,411,14.79,1.04,2.96,18.79
54,173,146,21.24,1.49,4.25,26.98
55,90,172,13.18,0.92,2.64,16.74
56,143,149,38.01,2.66,7.6,48.27
57,195,417,38.67,2.71,7.73,49.11
58,210,483,2.52,0.18,0.5,3.2
59,155,203,36.09,2.53,7.22,45.84
60,95,246,22.38,1.57,4.48,28.43
61,84,404,12.27,0.86,2.45,15.58
62,232,406,9.27,0.65,1.85,11.77
63,4,13,3.63,0.25,0.73,4.61
64,61,405,12.16,0.85,2.43,15.44
65,215,472,8.7,0.61,1.74,11.05
66,78,304,19.82,1.39,3.96,25.17
67,93,137,12.56,0.88,2.51,15.95
68,222,385,9.18,0.64,1.84,11.66
69,115,462,6.75,0.47,1.35,8.57
70,231,495,4.57,0.32,0.91,5.8
71,134,82,17.0,1.19,3.4,21.59
72,64,117,6.45,0.45,1.29,8.19
73,174,331,25.68,1.8,5.14,32.62
74,80,284,6.88,0.48,1.38,8.74
75,180,443,16.36,1.15,3.27,20.78
76,4,370,10.89,0.76,2.18,13.83
77,29,203,26.34,1.84,5.27,33.45
78,73,125,2.78,0.19,0.56,3.53
79,237,263,6.33,0.44,1.27,8.04
80,22,90,32.97,2.31,6.59,41.87
81,62,203,34.5,2.42,6.9,43.82
82,168,484,12.63,0.88,2.53,16.04
83,231,396,22.71,1.59,4.54,28.84
84,111,379,4.98,0.35,1.0,6.33
85,170,9,6.9,0.48,1.38,8.76
86,71,465,19.26,1.35,3.85,24.46
87,113,133,11.26,0.79,2.25,14.3
88,212,270,4.11,0.29,0.82,5.22
89,136,159,37.74,2.64,7.55,47.93
90,228,186,37.05,2.59,7.41,47.05
91,28,114,10.5,0.74,2.1,13.34
92,232,200,8.96,0.63,1.79,11.38
93,5,296,20.86,1.46,4.17,26.49
94,228,276,9.58,0.67,1.92,12.17
95,23,354,12.93,0.91,2.59,16.43
96,237,254,6.33,0.44,1.27,8.04
97,53,26,22.58,1.58,4.52,28.68
98,154,30,13.32,0.93,2.66,16.91
99,239,410,12.7,0.89,2.54,16.13
100,103,380,6.4,0.45,1.28,8.13
101,224,452,18.02,1.26,3.6,22.88
102,227,309,21.51,1.51,4.3,27.32
103,87,4,31.32,2.19,6.26,39.77
104,21,142,10.35,0.72,2.07,13.14
105,29,321,8.78,0.61,1.76,11.15
106,214,181,16.52,1.16,3.3,20.98
107,159,91,4.21,0.29,0.84,5.34
108,21,500,17.94,1.26,3.59,22.79
109,188,411,38.73,2.71,7.75,49.19
110,27,276,7.98,0.56,1.6,10.14
111,163,111,21.54,1.51,4.31,27.36
112,219,481,2.41,0.17,0.48,3.06
113,122,459,8.8,0.62,1.76,11.18
114,146,324,5.06,0.35,1.01,6.42
115,206,26,31.92,2.23,6.38,40.53
116,239,238,12.7,0.89,2.54,16.13
117,26,58,8.51,0.6,1.7,10.81
118,211,175,8.81,0.62,1.76,11.19
119,174,85,2.96,0.21,0.59,3.76
120,210,439,21.36,1.5,4.27,27.13
121,230,77,14.79,1.04,2.96,18.79
122,188,374,21.62,1.51,4.32,27.45
123,3,122,7.14,0.5,1.43,9.07
124,202,239,14.12,0.99,2.82,17.93
125,165,473,4.12,0.29,0.82,5.23
126,126,234,10.35,0.72,2.07,13.14
127,119,364,16.34,1.14,3.27,20.75
128,155,82,36.72,2.57,7.34,46.63
129,174,489,11.75,0.82,2.35,14.92
130,128,447,31.08,2.18,6.22,39.48
131,74,72,9.16,0.64,1.83,11.63
132,39,125,12.01,0.84,2.4,15.25
133,168,237,34.38,2.41,6.88,43.67
134,103,474,6.4,0.45,1.28,8.13
135,88,439,22.58,1.58,4.52,28.68
136,213,261,22.71,1.59,4.54,28.84
137,66,28,12.62,0.88,2.52,16.02
138,10,435,15.66,1.1,3.13,19.89
139,198,429,12.56,0.88,2.51,15.95
140,119,288,5.32,0.37,1.06,6.75
141,162,404,14.58,1.02,2.92,18.52
142,41,125,10.14,0.71,2.03,12.88
143,51,257,9.72,0.68,1.94,12.34
144,87,304,10.44,0.73,2.09,13.26
145,37,491,10.63,0.74,2.13,13.5
146,61,370,10.32,0.72,2.06,13.1
147,180,73,8.18,0.57,1.64,10.39
148,56,458,14.91,1.04,2.98,18.93
149,69,268,7.29,0.51,1.46,9.26
150,136,431,25.16,1.76,5.03,31.95
151,80,157,7.23,0.51,1.45,9.19
152,237,55,2.11,0.15,0.42,2.68
153,167,396,10.28,0.72,2.06,13.06
154,237,310,6.33,0.44,1.27,8.04
155,198,24,25.72,1.8,5.14,32.66
156,219,247,3.88,0.27,0.78,4.93
157,68,29,8.67,0.61,1.73,11.01
158,74,282,31.08,2.18,6.22,39.48
159,60,265,13.6,0.95,2.72,17.27
160,213,414,12.74,0.89,2.55,16.18
161,231,81,13.71,0.96,2.74,17.41
162,192,26,24.24,1.7,4.85,30.79
163,204,424,7.5,0.53,1.5,9.53
164,14,110,11.1,0.78,2.22,14.1
165,167,375,10.28,0.72,2.06,13.06
166,189,316,10.67,0.75,2.13,13.55
167,25,233,35.1,2.46,7.02,44.58
168,141,379,7.66,0.54,1.53,9.73
169,104,454,13.5,0.95,2.7,17.15
170,35,490,10.2,0.71,2.04,12.95
171,121,322,7.48,0.52,1.5,9.5
172,228,198,4.79,0.34,0.96,6.09
173,223,141,10.86,0.76,2.17,13.79
174,59,316,20.64,1.44,4.13,26.21
175,105,356,14.52,1.02,2.9,18.44
176,197,455,2.68,0.19,0.54,3.41
177,250,406,22.1,1.55,4.42,28.07
178,10,112,24.68,1.73,4.94,31.35
179,197,96,2.68,0.19,0.54,3.41
180,103,400,36.75,2.57,7.35,46.67
181,83,217,18.69,1.31,3.74,23.74
182,197,498,2.68,0.19,0.54,3.41
183,166,127,24.68,1.73,4.94,31.35
184,69,10,18.21,1.27,3.64,23.12
185,228,127,4.79,0.34,0.96,6.09
186,247,322,10.48,0.73,2.1,13.31
187,95,379,8.6,0.6,1.72,10.92
188,211,400,7.44,0.52,1.49,9.45
189,58,384,24.02,1.68,4.8,30.5
190,130,362,4.5,0.32,0.9,5.72
191,194,286,19.05,1.33,3.81,24.19
192,69,459,4.86,0.34,0.97,6.17
193,195,306,25.78,1.8,5.16,32.74
194,85,41,33.57,2.35,6.71,42.63
195,53,456,4.98,0.35,1.0,6.33
196,143,470,13.8,0.97,2.76,17.53
197,206,133,31.92,2.23,6.38,40.53
198,170,224,5.44,0.38,1.09,6.91
199,148,83,12.46,0.87,2.49,15.82
200,140,478,19.5,1.37,3.9,24.77
201,99,140,17.43,1.22,3.49,22.14
202,82,299,14.94,1.05,2.99,18.98
203,98,410,2.97,0.21,0.59,3.77
204,154,356,24.54,1.72,4.91,31.17
205,197,130,8.04,0.56,1.61,10.21
206,12,172,15.18,1.06,3.04,19.28
207,52,353,24.98,1.75,5.0,31.73
208,92,444,36.6,2.56,7.32,46.48
209,82,212,14.94,1.05,2.99,18.98
210,199,149,22.08,1.55,4.42,28.05
211,185,30,15.24,1.07,3.05,19.36
212,69,85,18.21,1.27,3.64,23.12
213,120,291,13.7,0.96,2.74,17.4
214,223,452,36.99,2.59,7.4,46.98
215,164,36,38.16,2.67,7.63,48.46
216,80,45,21.69,1.52,4.34,27.55
217,2,443,12.22,0.86,2.44,15.52
218,90,322,2.67,0.19,0.53,3.39
219,76,66,11.92,0.83,2.38,15.13
220,228,466,37.05,2.59,7.41,47.05
221,97,219,10.72,0.75,2.14,13.61
222,215,326,9.56,0.67,1.91,12.14
223,176,139,5.35,0.37,1.07,6.79
224,160,400,30.12,2.11,6.02,38.25
225,228,79,12.35,0.86,2.47,15.68
226,66,401,12.62,0.88,2.52,16.02
227,69,132,18.21,1.27,3.64,23.12
228,187,219,17.26,1.21,3.45,21.92
229,164,391,12.72,0.89,2.54,16.15
230,48,349,23.46,1.64,4.69,29.79
231,153,46,36.87,2.58,7.37,46.82
232,191,396,32.25,2.26,6.45,40.96
233,118,78,6.35,0.44,1.27,8.06
234,136,452,35.28,2.47,7.06,44.81
235,224,54,22.74,1.59,4.55,28.88
236,77,496,16.47,1.15,3.29,20.91
237,231,222,15.14,1.06,3.03,19.23
238,203,114,25.05,1.75,5.01,31.81
239,15,227,30.39,2.13,6.08,38.6
240,14,234,22.2,1.55,4.44,28.19
241,167,181,30.84,2.16,6.17,39.17
242,44,301,20.28,1.42,4.06,25.76
243,172,364,7.98,0.56,1.6,10.14
244,216,290,37.56,2.63,7.51,47.7
245,60,288,12.24,0.86,2.45,15.55
246,56,382,7.95,0.56,1.59,10.1
247,130,444,10.36,0.73,2.07,13.16
248,232,57,18.54,1.3,3.71,23.55
249,44,134,10.53,0.74,2.11,13.38
250,175,412,14.74,1.03,2.95,18.72
251,58,399,36.03,2.52,7.21,45.76
252,100,489,17.7,1.24,3.54,22.48
253,54,241,21.63,1.51,4.33,27.47
254,54,309,11.62,0.81,2.32,14.75
255,184,163,7.88,0.55,1.58,10.01
256,160,48,5.34,0.37,1.07,6.78
257,129,214,4.52,0.32,0.9,5.74
258,164,225,12.72,0.89,2.54,16.15
259,237,468,2.11,0.15,0.42,2.68
260,188,408,24.27,1.7,4.85,30.82
261,144,52,6.6,0.46,1.32,8.38
262,189,219,5.88,0.41,1.18,7.47
263,165,194,4.5,0.32,0.9,5.72
264,151,187,22.94,1.61,4.59,29.14
265,117,161,22.78,1.59,4.56,28.93
266,138,228,23.52,1.65,4.7,29.87
267,67,196,2.12,0.15,0.42,2.69
268,176,156,11.74,0.82,2.35,14.91
269,244,130,11.66,0.82,2.33,14.81
270,1,272,10.76,0.75,2.15,13.66
271,62,494,34.5,2.42,6.9,43.82
272,250,260,11.53,0.81,2.31,14.65
273,127,418,12.28,0.86,2.46,15.6
274,9,245,12.41,0.87,2.48,15.76
275,26,489,25.53,1.79,5.11,32.43
276,135,261,25.41,1.78,5.08,32.27
277,211,265,13.44,0.94,2.69,17.07
278,163,382,14.36,1.01,2.87,18.24
279,133,454,3.9,0.27,0.78,4.95
280,193,2,8.22,0.58,1.64,10.44
281,142,99,18.03,1.26,3.61,22.9
282,222,194,4.59,0.32,0.92,5.83
283,40,243,4.68,0.33,0.94,5.95
284,204,496,11.96,0.84,2.39,15.19
285,222,125,25.64,1.79,5.13,32.56
286,147,215,36.69,2.57,7.34,46.6
287,186,342,6.3,0.44,1.26,8.0
288,177,375,33.6,2.35,6.72,42.67
289,50,259,32.73,2.29,6.55,41.57
290,188,380,32.43,2.27,6.49,41.19
291,250,13,34.59,2.42,6.92,43.93
292,66,372,37.86,2.65,7.57,48.08
293,85,38,6.61,0.46,1.32,8.39
294,175,111,35.76,2.5,7.15,45.41
295,47,419,8.23,0.58,1.65,10.46
296,61,410,11.97,0.84,2.39,15.2
297,132,364,4.22,0.3,0.84,5.36
298,125,209,31.95,2.24,6.39,40.58
299,186,345,13.04,0.91,2.61,16.56
300,108,409,10.67,0.75,2.13,13.55
301,158,403,25.92,1.81,5.18,32.91
302,216,26,12.52,0.88,2.5,15.9
303,216,13,25.04,1.75,5.01,31.8
304,216,367,12.52,0.88,2.5,15.9
305,32,309,26.04,1.82,5.21,33.07
306,46,356,30.0,2.1,6.0,38.1
307,73,53,12.12,0.85,2.42,15.39
308,178,293,14.22,1.0,2.84,18.06
309,14,455,38.46,2.69,7.69,48.84
310,237,357,6.33,0.44,1.27,8.04
311,240,393,37.5,2.63,7.5,47.63
312,142,401,2.59,0.18,0.52,3.29
313,151,275,3.43,0.24,0.69,4.36
314,3,405,18.36,1.29,3.67,23.32
315,242,360,4.48,0.31,0.9,5.69
316,120,366,18.42,1.29,3.68,23.39
317,168,397,21.46,1.5,4.29,27.25
318,250,383,34.59,2.42,6.92,43.93
319,61,245,11.97,0.84,2.39,15.2
320,81,499,22.14,1.55,4.43,28.12
321,123,116,10.21,0.71,2.04,12.96
322,172,277,35.34,2.47,7.07,44.88
323,203,347,16.7,1.17,3.34,21.21
324,48,476,35.64,2.49,7.13,45.26
325,108,265,23.32,1.63,4.66,29.61
326,26,354,8.51,0.6,1.7,10.81
327,246,329,11.85,0.83,2.37,15.05
328,116,76,27.6,1.93,5.52,35.05
329,21,235,20.7,1.45,4.14,26.29
330,105,49,12.83,0.9,2.57,16.3
331,92,72,8.17,0.57,1.63,10.37
332,178,146,9.48,0.66,1.9,12.04
333,160,244,20.08,1.41,4.02,25.51
334,247,475,16.23,1.14,3.25,20.62
335,18,270,18.18,1.27,3.64,23.09
336,83,349,18.69,1.31,3.74,23.74
337,168,284,11.46,0.8,2.29,14.55
338,141,205,7.66,0.54,1.53,9.73
339,163,454,14.76,1.03,2.95,18.74
340,170,309,8.16,0.57,1.63,10.36
341,113,494,16.89,1.18,3.38,21.45
342,249,332,21.54,1.51,4.31,27.36
343,143,236,6.84,0.48,1.37,8.69
344,193,132,16.44,1.15,3.29,20.88
345,32,338,30.57,2.14,6.11,38.82
346,100,349,38.55,2.7,7.71,48.96
347,197,11,2.68,0.19,0.54,3.41
348,240,416,7.1,0.5,1.42,9.02
349,57,463,10.89,0.76,2.18,13.83
350,148,60,6.08,0.43,1.22,7.73
351,145,66,36.36,2.55,7.27,46.18
352,186,96,19.56,1.37,3.91,24.84
353,149,428,3.11,0.22,0.62,3.95
354,175,228,8.59,0.6,1.72,10.91
355,124,13,12.39,0.87,2.48,15.74
356,122,463,17.14,1.2,3.43,21.77
357,11,96,2.47,0.17,0.49,3.13
358,191,26,9.46,0.66,1.89,12.01
359,152,134,25.2,1.76,5.04,32.0
360,63,485,38.25,2.68,7.65,48.58
361,155,279,15.62,1.09,3.12,19.83
362,206,39,13.72,0.96,2.74,17.42
363,53,197,6.41,0.45,1.28,8.14
364,56,397,24.39,1.71,4.88,30.98
365,129,92,18.57,1.3,3.71,23.58
366,237,445,6.33,0.44,1.27,8.04
367,194,264,12.89,0.9,2.58,16.37
368,42,444,35.19,2.46,7.04,44.69
369,231,116,7.57,0.53,1.51,9.61
370,103,367,12.8,0.9,2.56,16.26
371,99,1,8.47,0.59,1.69,10.75
372,206,265,21.28,1.49,4.26,27.03
373,22,497,8.33,0.58,1.67,10.58
374,39,362,5.22,0.37,1.04,6.63
375,69,91,6.07,0.42,1.21,7.7
376,225,373,26.22,1.84,5.24,33.3
377,135,273,25.41,1.78,5.08,32.27
378,117,490,13.78,0.96,2.76,17.5
379,204,406,11.25,0.79,2.25,14.29
380,177,65,5.16,0.36,1.03,6.55
381,137,213,18.75,1.31,3.75,23.81
382,118,172,7.87,0.55,1.57,9.99
383,91,192,10.81,0.76,2.16,13.73
384,131,180,16.42,1.15,3.28,20.85
385,46,44,22.54,1.58,4.51,28.63
386,208,147,21.54,1.51,4.31,27.36
387,17,82,10.08,0.71,2.02,12.81
388,195,402,38.67,2.71,7.73,49.11
389,5,16,10.43,0.73,2.09,13.25
390,129,436,12.38,0.87,2.48,15.73
391,209,266,34.98,2.45,7.0,44.43
392,72,386,24.66,1.73,4.93,31.32
393,107,424,12.56,0.88,2.51,15.95
394,171,20,10.24,0.72,2.05,13.01
395,203,448,16.7,1.17,3.34,21.21
396,191,249,32.25,2.26,6.45,40.96
397,207,158,6.12,0.43,1.22,7.77
398,99,95,8.47,0.59,1.69,10.75
399,126,243,6.06,0.42,1.21,7.69
400,62,32,4.1,0.29,0.82,5.21
401,182,443,36.87,2.58,7.37,46.82
402,208,475,21.54,1.51,4.31,27.36
403,99,170,17.43,1.22,3.49,22.14
404,137,231,24.42,1.71,4.88,31.01
405,154,245,6.01,0.42,1.2,7.63
406,142,247,6.01,0.42,1.2,7.63
407,140,429,14.3,1.0,2.86,18.16
408,51,162,11.79,0.83,2.36,14.98
409,142,245,18.03,1.26,3.61,22.9
410,131,232,16.42,1.15,3.28,20.85
411,139,52,37.14,2.6,7.43,47.17
412,186,33,13.04,0.91,2.61,16.56
413,21,182,17.94,1.26,3.59,22.79
414,90,497,13.18,0.92,2.64,16.74
415,183,251,8.36,0.59,1.67,10.62
416,20,315,17.97,1.26,3.59,22.82
417,41,335,4.91,0.34,0.98,6.23
418,184,80,2.3,0.16,0.46,2.92
419,138,313,6.76,0.47,1.35,8.58
420,163,69,12.73,0.89,2.55,16.17
421,48,422,35.64,2.49,7.13,45.26
422,203,476,16.7,1.17,3.34,21.21
423,117,218,6.89,0.48,1.38,8.75
424,126,141,20.46,1.43,4.09,25.98
425,147,175,12.26,0.86,2.45,15.57
426,221,267,6.01,0.42,1.2,7.63
427,117,390,13.78,0.96,2.76,17.5
428,67,230,22.5,1.58,4.5,28.58
429,167,218,20.56,1.44,4.11,26.11
430,90,423,2.67,0.19,0.53,3.39
431,119,497,12.6,0.88,2.52,16.0
432,14,463,25.64,1.79,5.13,32.56
433,146,64,10.2,0.71,2.04,12.95
434,200,241,2.08,0.15,0.42,2.65
435,139,297,24.58,1.72,4.92,31.22
436,43,236,6.8,0.48,1.36,8.64
437,218,160,9.34,0.65,1.87,11.86
438,249,15,30.33,2.12,6.07,38.52
439,240,448,7.11,0.5,1.42,9.03
440,81,211,22.14,1.55,4.43,28.12
441,16,307,11.91,0.83,2.38,15.12
442,187,196,4.26,0.3,0.85,5.41
443,3,16,17.98,1.26,3.6,22.84
444,73,40,2.78,0.19,0.56,3.53
445,118,52,37.65,2.64,7.53,47.82
446,232,460,17.92,1.25,3.58,22.75
447,6,187,8.06,0.56,1.61,10.23
448,175,138,19.83,1.39,3.97,25.19
449,147,451,12.26,0.86,2.45,15.57
450,2,88,12.44,0.87,2.49,15.8
451,209,58,14.48,1.01,2.9,18.39
452,231,122,15.14,1.06,3.03,19.23
453,25,49,8.5,0.6,1.7,10.8
454,15,311,4.84,0.34,0.97,6.15
455,132,65,4.22,0.3,0.84,5.36
456,151,52,33.63,2.35,6.73,42.71
457,179,142,18.33,1.28,3.67,23.28
458,150,192,10.32,0.72,2.06,13.1
459,232,385,6.18,0.43,1.24,7.85
460,50,180,10.91,0.76,2.18,13.85
461,225,132,12.88,0.9,2.58,16.36
462,46,310,16.47,1.15,3.29,20.91
463,135,131,16.94,1.19,3.39,21.52
464,46,401,12.46,0.87,2.49,15.82
465,100,384,10.21,0.71,2.04,12.96
466,142,483,18.03,1.26,3.61,22.9
467,120,401,6.85,0.48,1.37,8.7
468,204,235,5.98,0.42,1.2,7.6
469,153,31,14.26,1.0,2.85,18.11
470,83,293,12.46,0.87,2.49,15.82
471,191,11,38.46,2.69,7.69,48.84
472,86,142,10.3,0.72,2.06,13.08
473,61,455,35.37,2.48,7.07,44.92
474,20,138,18.36,1.29,3.67,23.32
475,211,162,34.41,2.41,6.88,43.7
476,77,78,10.98,0.77,2.2,13.95
477,106,337,21.93,1.54,4.39,27.86
478,237,462,4.22,0.3,0.84,5.36
479,62,89,4.1,0.29,0.82,5.21
480,8,328,10.74,0.75,2.15,13.64
481,217,422,9.14,0.64,1.83,11.61
482,33,65,6.66,0.47,1.33,8.46
483,70,402,12.36,0.87,2.47,15.7
484,32,44,8.68,0.61,1.74,11.03
485,240,159,10.65,0.75,2.13,13.53
486,140,99,2.75,0.19,0.55,3.49
487,102,179,16.74,1.17,3.35,21.26
488,71,322,25.4,1.78,5.08,32.26
489,152,274,32.04,2.24,6.41,40.69
490,105,260,5.98,0.42,1.2,7.6
491,2,76,20.06,1.4,4.01,25.47
492,139,113,36.87,2.58,7.37,46.82
493,166,214,3.41,0.24,0.68,4.33
494,146,239,3.4,0.24,0.68,4.32
495,69,400,15.81,1.11,3.16,20.08
496,131,122,17.96,1.26,3.59,22.81
497,69,290,2.43,0.17,0.49,3.09
498,104,320,13.92,0.97,2.78,17.67
499,64,292,34.44,2.41,6.89,43.74
500,77,488,12.3,0.86,2.46,15.62
501,38,339,10.12,0.71,2.02,12.85
502,98,276,12.88,0.9,2.58,16.36
503,45,51,25.44,1.78,5.09,32.31
504,7,325,24.42,1.71,4.88,31.01
505,249,493,21.54,1.51,4.31,27.36
506,128,118,11.29,0.79,2.26,14.34
507,196,316,8.9,0.62,1.78,11.3
508,180,292,24.54,1.72,4.91,31.17
509,133,466,3.9,0.27,0.78,4.95
510,230,464,14.79,1.04,2.96,18.79
511,40,344,2.34,0.16,0.47,2.97
512,88,240,5.14,0.36,1.03,6.53
513,76,83,11.92,0.83,2.38,15.13
514,3,346,18.36,1.29,3.67,23.32
515,162,290,14.67,1.03,2.93,18.63
516,216,193,37.56,2.63,7.51,47.7
517,200,80,4.16,0.29,0.83,5.28
518,6,319,31.53,2.21,6.31,40.05
519,84,369,4.09,0.29,0.82,5.2
520,11,241,6.78,0.47,1.36,8.61
521,58,318,2.76,0.19,0.55,3.5
522,10,317,10.89,0.76,2.18,13.83
523,65,106,2.71,0.19,0.54,3.44
524,156,431,10.11,0.71,2.02,12.84
525,77,405,12.3,0.86,2.46,15.62
526,243,146,24.34,1.7,4.87,30.91
527,153,96,12.08,0.85,2.42,15.35
528,28,335,31.5,2.21,6.3,40.01
529,39,276,5.22,0.37,1.04,6.63
530,183,294,6.96,0.49,1.39,8.84
531,131,463,24.63,1.72,4.93,31.28
532,90,356,8.01,0.56,1.6,10.17
533,187,35,6.39,0.45,1.28,8.12
534,35,73,5.1,0.36,1.02,6.48
535,174,52,11.75,0.82,2.35,14.92
536,168,474,37.89,2.65,7.58,48.12
537,172,456,9.14,0.64,1.83,11.61
538,85,369,14.55,1.02,2.91,18.48
539,14,120,38.46,2.69,7.69,48.84
540,249,104,14.36,1.01,2.87,18.24
541,76,162,5.44,0.38,1.09,6.91
542,231,109,15.14,1.06,3.03,19.23
543,200,150,2.08,0.15,0.42,2.65
544,28,338,10.5,0.74,2.1,13.34
545,50,115,8.79,0.62,1.76,11.17
546,168,410,25.26,1.77,5.05,32.08
547,202,58,2.01,0.14,0.4,2.55
548,101,488,19.78,1.38,3.96,25.12
549,234,424,16.3,1.14,3.26,20.7
550,142,346,5.18,0.36,1.04,6.58
551,54,48,4.28,0.3,0.86,5.44
552,70,341,16.26,1.14,3.25,20.65
553,147,331,6.13,0.43,1.23,7.79
554,61,469,24.32,1.7,4.86,30.88
555,95,301,7.4,0.52,1.48,9.4
556,93,223,17.66,1.24,3.53,22.43
557,108,267,8.82,0.62,1.76,11.2
558,178,210,8.1,0.57,1.62,10.29
559,151,12,34.41,2.41,6.88,43.7
560,80,212,6.88,0.48,1.38,8.74
561,82,415,2.76,0.19,0.55,3.5
562,144,488,5.3,0.37,1.06,6.73
563,144,374,6.18,0.43,1.24,7.85
564,144,219,26.88,1.88,5.38,34.14
565,122,164,11.44,0.8,2.29,14.53
566,135,36,8.47,0.59,1.69,10.75
567,175,202,5.28,0.37,1.06,6.71
568,182,492,2.73,0.19,0.55,3.47
569,116,295,9.2,0.64,1.84,11.68
570,92,224,22.4,1.57,4.48,28.45
571,71,139,26.01,1.82,5.2,33.03
572,35,479,24.56,1.72,4.91,31.19
573,98,248,5.94,0.42,1.19,7.55
574,20,156,6.93,0.49,1.39,8.81
575,166,26,37.02,2.59,7.4,47.01
576,208,98,21.54,1.51,4.31,27.36
577,189,141,8.82,0.62,1.76,11.2
578,57,413,3.63,0.25,0.73,4.61
579,55,199,38.07,2.66,7.61,48.34
580,86,106,9.56,0.67,1.91,12.14
581,111,125,11.01,0.77,2.2,13.98
582,175,287,8.59,0.6,1.72,10.91
583,30,287,4.14,0.29,0.83,5.26
584,10,157,21.78,1.52,4.36,27.66
585,162,281,4.89,0.34,0.98,6.21
586,182,59,36.87,2.58,7.37,46.82
587,75,271,12.3,0.86,2.46,15.62
588,141,370,16.38,1.15,3.28,20.81
589,173,496,10.8,0.76,2.16,13.72
590,4,130,38.67,2.71,7.73,49.11
591,48,300,23.46,1.64,4.69,29.79
592,76,419,2.72,0.19,0.54,3.45
593,214,493,26.82,1.88,5.36,34.06
594,241,350,34.44,2.41,6.89,43.74
595,9,406,12.41,0.87,2.48,15.76
596,143,310,16.14,1.13,3.23,20.5
597,123,118,20.42,1.43,4.08,25.93
598,166,340,12.34,0.86,2.47,15.67
599,134,64,17.0,1.19,3.4,21.59
600,120,229,6.85,0.48,1.37,8.7
601,120,184,20.55,1.44,4.11,26.1
602,170,211,20.7,1.45,4.14,26.29
603,198,23,17.94,1.26,3.59,22.79
604,13,83,7.74,0.54,1.55,9.83
605,166,477,9.25,0.65,1.85,11.75
606,56,474,5.3,0.37,1.06,6.73
607,227,432,6.62,0.46,1.32,8.4
608,87,373,20.88,1.46,4.18,26.52
609,50,194,26.37,1.85,5.27,33.49
610,82,222,12.1,0.85,2.42,15.37
611,230,277,2.82,0.2,0.56,3.58
612,237,395,4.22,0.3,0.84,5.36
613,222,475,12.82,0.9,2.56,16.28
614,21,235,26.91,1.88,5.38,34.17
615,123,286,18.0,1.26,3.6,22.86
616,122,481,8.57,0.6,1.71,10.88
617,40,43,8.32,0.58,1.66,10.56
618,66,89,2.81,0.2,0.56,3.57
619,59,296,2.7,0.19,0.54,3.43
620,152,389,7.2,0.5,1.44,9.14
621,138,252,11.76,0.82,2.35,14.93
622,248,217,4.95,0.35,0.99,6.29
623,168,258,37.89,2.65,7.58,48.12
624,32,270,6.34,0.44,1.27,8.05
625,20,438,20.79,1.46,4.16,26.41
626,224,10,22.74,1.59,4.55,28.88
627,86,152,14.34,1.0,2.87,18.21
628,221,61,9.69,0.68,1.94,12.31
629,24,320,8.07,0.56,1.61,10.24
630,61,273,31.35,2.19,6.27,39.81
631,234,416,12.72,0.89,2.54,16.15
632,52,398,17.22,1.21,3.44,21.87
633,54,373,4.28,0.3,0.86,5.44
